STATE_UT,DISTRICT,ALERT_CONFIRMED,alert_count
Assam,Karbi Anglong,SUDDEN_DROP,28
Assam,Karimganj,CRITICAL_GROUNDWATER,10
Assam,Karimganj,DEPLETION_WARNING,5
Assam,Karimganj,RECOVERY_SIGNAL,1
Assam,Lakhimpur,CRITICAL_GROUNDWATER,24
Assam,Lakhimpur,DEPLETION_WARNING,2
Assam,Lakhimpur,RECOVERY_SIGNAL,1
Assam,Marigaon,CRITICAL_GROUNDWATER,12
Assam,Marigaon,DEPLETION_WARNING,5
Assam,Marigaon,RECOVERY_SIGNAL,4
Assam,Marigaon,SUDDEN_DROP,2
Assam,Nagaon,CRITICAL_GROUNDWATER,17
Assam,Nagaon,DEPLETION_WARNING,9
Assam,Nagaon,RECOVERY_SIGNAL,4
Assam,Nagaon,SUDDEN_DROP,3
Assam,Nalbari,RECOVERY_SIGNAL,1
Assam,Nalbari,SUDDEN_DROP,1
Assam,Sivasagar,CRITICAL_GROUNDWATER,5
Assam,Sivasagar,RECOVERY_SIGNAL,2
Assam,Sivasagar,SUDDEN_DROP,3
Assam,Sonitpur,CRITICAL_GROUNDWATER,3
Assam,Sonitpur,DEPLETION_WARNING,4
Assam,Sonitpur,RECOVERY_SIGNAL,2
Assam,Sonitpur,SUDDEN_DROP,1
Assam,Tamulpur,CRITICAL_GROUNDWATER,1
Assam,Tamulpur,DEPLETION_WARNING,2
Assam,Tinsukia,CRITICAL_GROUNDWATER,10
Assam,Tinsukia,DEPLETION_WARNING,8
Assam,Tinsukia,RECOVERY_SIGNAL,2
Assam,Tinsukia,SUDDEN_DROP,1
Assam,Udalguri,CRITICAL_GROUNDWATER,3
Assam,Udalguri,DEPLETION_WARNING,3
Assam,Udalguri,RECOVERY_SIGNAL,4
Assam,Udalguri,SUDDEN_DROP,4
Assam,West Karbi Anglong,CRITICAL_GROUNDWATER,2
Assam,West Karbi Anglong,DEPLETION_WARNING,4
Assam,West Karbi Anglong,RECOVERY_SIGNAL,1
Assam,West Karbi Anglong,SUDDEN_DROP,3
Chandigarh,Chandigarh,CRITICAL_GROUNDWATER,16
Chandigarh,Chandigarh,DEPLETION_WARNING,3
Chandigarh,Chandigarh,RECOVERY_SIGNAL,2
Chandigarh,Chandigarh,SUDDEN_DROP,4
Chhattisgarh,Balod,CRITICAL_GROUNDWATER,5
Chhattisgarh,Balod,DEPLETION_WARNING,3
Chhattisgarh,Balod,RECOVERY_SIGNAL,2
Chhattisgarh,Balod,SUDDEN_DROP,10
Chhattisgarh,Balodabazar-Bhatapara,CRITICAL_GROUNDWATER,3
Chhattisgarh,Balodabazar-Bhatapara,DEPLETION_WARNING,3
Chhattisgarh,Balodabazar-Bhatapara,RECOVERY_SIGNAL,3
Chhattisgarh,Balodabazar-Bhatapara,SUDDEN_DROP,10
Chhattisgarh,Balrampur Ramanujganj,CRITICAL_GROUNDWATER,2
Chhattisgarh,Balrampur Ramanujganj,DEPLETION_WARNING,3
Chhattisgarh,Balrampur Ramanujganj,RECOVERY_SIGNAL,1
Chhattisgarh,Balrampur Ramanujganj,SUDDEN_DROP,3
Chhattisgarh,Bastar,CRITICAL_GROUNDWATER,2
Chhattisgarh,Bastar,DEPLETION_WARNING,1
Chhattisgarh,Bastar,RECOVERY_SIGNAL,2
Chhattisgarh,Bastar,SUDDEN_DROP,4
Chhattisgarh,Bemetara,CRITICAL_GROUNDWATER,1
Chhattisgarh,Bemetara,DEPLETION_WARNING,1
Chhattisgarh,Bemetara,RECOVERY_SIGNAL,1
Chhattisgarh,Bemetara,SUDDEN_DROP,10
Chhattisgarh,Bilaspur,CRITICAL_GROUNDWATER,7
Chhattisgarh,Bilaspur,DEPLETION_WARNING,2
Chhattisgarh,Bilaspur,RECOVERY_SIGNAL,6
Chhattisgarh,Bilaspur,SUDDEN_DROP,12
Chhattisgarh,Dhamtari,CRITICAL_GROUNDWATER,5
Chhattisgarh,Dhamtari,DEPLETION_WARNING,2
Chhattisgarh,Dhamtari,RECOVERY_SIGNAL,2
Chhattisgarh,Dhamtari,SUDDEN_DROP,7
Chhattisgarh,Durg,DEPLETION_WARNING,2
Chhattisgarh,Durg,RECOVERY_SIGNAL,2
Chhattisgarh,Durg,SUDDEN_DROP,6
Chhattisgarh,Gariyaband,SUDDEN_DROP,2
Chhattisgarh,Gaurela Pendra Marwahi,CRITICAL_GROUNDWATER,1
Chhattisgarh,Gaurela Pendra Marwahi,SUDDEN_DROP,7
Chhattisgarh,Janjgir-Champa,CRITICAL_GROUNDWATER,9
Chhattisgarh,Janjgir-Champa,DEPLETION_WARNING,2
Chhattisgarh,Janjgir-Champa,RECOVERY_SIGNAL,1
Chhattisgarh,Janjgir-Champa,SUDDEN_DROP,9
Chhattisgarh,Jashpur,CRITICAL_GROUNDWATER,10
Chhattisgarh,Jashpur,DEPLETION_WARNING,4
Chhattisgarh,Jashpur,RECOVERY_SIGNAL,1
Chhattisgarh,Jashpur,SUDDEN_DROP,9
Chhattisgarh,Kabeerdham,CRITICAL_GROUNDWATER,1
Chhattisgarh,Kabeerdham,SUDDEN_DROP,2
Chhattisgarh,KabeerdhamKawardha,SUDDEN_DROP,3
Chhattisgarh,Khairagarh Chhuikhadan GandaiChhuikhadan,SUDDEN_DROP,1
Chhattisgarh,Khairagarh Chhuikhadan GandaiKhairagarh,CRITICAL_GROUNDWATER,2
Chhattisgarh,Khairagarh Chhuikhadan GandaiKhairagarh,DEPLETION_WARNING,1
Chhattisgarh,Khairagarh Chhuikhadan GandaiKhairagarh,SUDDEN_DROP,2
Chhattisgarh,KondagaonKondagaon,DEPLETION_WARNING,1
Chhattisgarh,KondagaonKondagaon,SUDDEN_DROP,1
Chhattisgarh,Korba,CRITICAL_GROUNDWATER,8
Chhattisgarh,Korba,DEPLETION_WARNING,2
Chhattisgarh,Korba,RECOVERY_SIGNAL,1
Chhattisgarh,Korba,SUDDEN_DROP,11
Chhattisgarh,KorbaKartala,DEPLETION_WARNING,1
Chhattisgarh,KorbaKartala,SUDDEN_DROP,2
Chhattisgarh,Korea,CRITICAL_GROUNDWATER,7
Chhattisgarh,Korea,DEPLETION_WARNING,1
Chhattisgarh,Korea,RECOVERY_SIGNAL,2
Chhattisgarh,Korea,SUDDEN_DROP,9
Chhattisgarh,Mahasamund,SUDDEN_DROP,2
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,CRITICAL_GROUNDWATER,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur McbManendragarh,CRITICAL_GROUNDWATER,1
Chhattisgarh,Manendragarh Chirmiri Bharatpur McbManendragarh,SUDDEN_DROP,1
Chhattisgarh,Mungeli,RECOVERY_SIGNAL,1
Chhattisgarh,Mungeli,SUDDEN_DROP,1
Chhattisgarh,MungeliLormi,SUDDEN_DROP,1
Chhattisgarh,Raigarh,CRITICAL_GROUNDWATER,1
Chhattisgarh,Raigarh,DEPLETION_WARNING,1
Chhattisgarh,Raigarh,SUDDEN_DROP,8
Chhattisgarh,Raipur,CRITICAL_GROUNDWATER,1
Chhattisgarh,Raipur,DEPLETION_WARNING,1
Chhattisgarh,Raipur,RECOVERY_SIGNAL,1
Chhattisgarh,Raipur,SUDDEN_DROP,10
Chhattisgarh,Rajnandgaon,CRITICAL_GROUNDWATER,3
Chhattisgarh,Rajnandgaon,DEPLETION_WARNING,2
Chhattisgarh,Rajnandgaon,RECOVERY_SIGNAL,3
Chhattisgarh,Rajnandgaon,SUDDEN_DROP,19
Chhattisgarh,Sakti,CRITICAL_GROUNDWATER,1
Chhattisgarh,Sarangarh Bilaigarh,SUDDEN_DROP,2
Chhattisgarh,Surajpur,CRITICAL_GROUNDWATER,6
Chhattisgarh,Surajpur,DEPLETION_WARNING,4
Chhattisgarh,Surajpur,RECOVERY_SIGNAL,2
Chhattisgarh,Surajpur,SUDDEN_DROP,7
Chhattisgarh,Surguja,CRITICAL_GROUNDWATER,7
Chhattisgarh,Surguja,DEPLETION_WARNING,1
Chhattisgarh,Surguja,SUDDEN_DROP,8
Chhattisgarh,Uttar Bastar Kanker,CRITICAL_GROUNDWATER,1
Chhattisgarh,Uttar Bastar Kanker,SUDDEN_DROP,3
Delhi,Central,CRITICAL_GROUNDWATER,5
Delhi,Central,DEPLETION_WARNING,3
Delhi,Central,RECOVERY_SIGNAL,1
Delhi,Central,SUDDEN_DROP,3
Delhi,East,CRITICAL_GROUNDWATER,8
Delhi,East,DEPLETION_WARNING,2
Delhi,East,RECOVERY_SIGNAL,3
Delhi,Nazul Land,CRITICAL_GROUNDWATER,1
Delhi,New Delhi,CRITICAL_GROUNDWATER,11
Delhi,New Delhi,DEPLETION_WARNING,6
Delhi,New Delhi,RECOVERY_SIGNAL,3
Delhi,New Delhi,SUDDEN_DROP,7
Delhi,North,CRITICAL_GROUNDWATER,9
Delhi,North,DEPLETION_WARNING,4
Delhi,North,RECOVERY_SIGNAL,5
Delhi,North,SUDDEN_DROP,2
Delhi,North West,CRITICAL_GROUNDWATER,12
Delhi,North West,DEPLETION_WARNING,6
Delhi,North West,RECOVERY_SIGNAL,1
Delhi,North West,SUDDEN_DROP,2
Delhi,Shahdara,CRITICAL_GROUNDWATER,2
Delhi,Shahdara,SUDDEN_DROP,1
Delhi,South,CRITICAL_GROUNDWATER,6
Delhi,South,DEPLETION_WARNING,2
Delhi,South,RECOVERY_SIGNAL,1
Delhi,South,SUDDEN_DROP,7
Delhi,South East,CRITICAL_GROUNDWATER,2
Delhi,South East,DEPLETION_WARNING,1
Delhi,South East,RECOVERY_SIGNAL,1
Delhi,South East,SUDDEN_DROP,1
Delhi,South West,CRITICAL_GROUNDWATER,21
Delhi,South West,DEPLETION_WARNING,9
Delhi,South West,RECOVERY_SIGNAL,1
Delhi,South West,SUDDEN_DROP,6
Delhi,West,CRITICAL_GROUNDWATER,15
Delhi,West,DEPLETION_WARNING,7
Delhi,West,RECOVERY_SIGNAL,6
Delhi,West,SUDDEN_DROP,6
Goa,North Goa,CRITICAL_GROUNDWATER,48
Goa,North Goa,DEPLETION_WARNING,33
Goa,North Goa,RECOVERY_SIGNAL,14
Goa,North Goa,SUDDEN_DROP,12
Goa,South Goa,CRITICAL_GROUNDWATER,48
Goa,South Goa,DEPLETION_WARNING,13
Goa,South Goa,RECOVERY_SIGNAL,11
Goa,South Goa,SUDDEN_DROP,10
Haryana,Ambala,CRITICAL_GROUNDWATER,14
Haryana,Ambala,DEPLETION_WARNING,7
Haryana,Ambala,RECOVERY_SIGNAL,4
Haryana,Ambala,SUDDEN_DROP,4
Haryana,Bhiwani,CRITICAL_GROUNDWATER,30
Haryana,Bhiwani,DEPLETION_WARNING,13
Haryana,Bhiwani,RECOVERY_SIGNAL,12
Haryana,Bhiwani,SUDDEN_DROP,12
Haryana,Charki Dadri,CRITICAL_GROUNDWATER,1
Haryana,Charki Dadri,DEPLETION_WARNING,1
Haryana,Faridabad,CRITICAL_GROUNDWATER,3
Haryana,Faridabad,DEPLETION_WARNING,1
Haryana,Faridabad,RECOVERY_SIGNAL,2
Haryana,Fatehabad,CRITICAL_GROUNDWATER,2
Haryana,Fatehabad,DEPLETION_WARNING,2
Haryana,Fatehabad,RECOVERY_SIGNAL,3
Haryana,Fatehabad,SUDDEN_DROP,3
Haryana,Gurugram,CRITICAL_GROUNDWATER,3
Haryana,Gurugram,DEPLETION_WARNING,1
Haryana,Gurugram,RECOVERY_SIGNAL,3
Haryana,Gurugram,SUDDEN_DROP,1
Haryana,Hisar,CRITICAL_GROUNDWATER,21
Haryana,Hisar,DEPLETION_WARNING,10
Haryana,Hisar,RECOVERY_SIGNAL,6
Haryana,Hisar,SUDDEN_DROP,9
Haryana,Jhajjar,CRITICAL_GROUNDWATER,12
Haryana,Jhajjar,DEPLETION_WARNING,10
Haryana,Jhajjar,RECOVERY_SIGNAL,5
Haryana,Jhajjar,SUDDEN_DROP,5
Haryana,Jind,CRITICAL_GROUNDWATER,19
Haryana,Jind,DEPLETION_WARNING,4
Haryana,Jind,RECOVERY_SIGNAL,9
Haryana,Jind,SUDDEN_DROP,4
Haryana,Kaithal,CRITICAL_GROUNDWATER,3
Haryana,Kaithal,DEPLETION_WARNING,3
Haryana,Kaithal,RECOVERY_SIGNAL,5
Haryana,Kaithal,SUDDEN_DROP,7
Haryana,Karnal,CRITICAL_GROUNDWATER,8
Haryana,Karnal,RECOVERY_SIGNAL,7
Haryana,Karnal,SUDDEN_DROP,4
Haryana,Kurukshetra,CRITICAL_GROUNDWATER,2
Haryana,Kurukshetra,DEPLETION_WARNING,4
Haryana,Kurukshetra,RECOVERY_SIGNAL,2
Haryana,Mahendragarh,RECOVERY_SIGNAL,2
Haryana,Mahendragarh,SUDDEN_DROP,2
