station_id,STATE_UT,DISTRICT,GAVI,GAVI_forecast_1y,GAVI_forecast_3y,FUTURE_ALERT_1y,FUTURE_ALERT_3y
Madhya Pradesh_21.6886_76.1978,Madhya Pradesh,Khandwa (East Nimar),0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Madhya Pradesh_21.5694_75.3244,Madhya Pradesh,Barwani,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Madhya Pradesh_21.6011_79.9792,Madhya Pradesh,Balaghat,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Madhya Pradesh_21.4289_76.6533,Madhya Pradesh,Burhanpur,52.38095238095237,42.85714285714288,23.809523809523814,STABLE,FUTURE_CRITICAL
Kerala_9.8401_77.0373,Kerala,Idukki,16.666666666666675,6.250000000000011,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.6999_76.7582,Kerala,Kottayam,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_10.7658_76.5433,Kerala,Palakkad,23.376623376623385,13.7987012987013,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4429_76.6738,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4468_76.8766,Kerala,Kottayam,10.526315789473673,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_10.8489_76.0833,Kerala,Malappuram,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Andhra Pradesh_nan_77.2849,Andhra Pradesh,Kurnool,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4137_76.8233,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4199_76.8151,Kerala,Pathanamthitta,10.526315789473696,8.552631578947379,4.605263157894757,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4326_76.3454,Kerala,Alappuzha,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4355_76.6077,Kerala,Pathanamthitta,3.125,3.515625000000011,4.296875,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.3963_76.8542,Kerala,Pathanamthitta,19.444444444444475,13.541666666666686,1.7361111111111605,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.39_76.7884,Kerala,Pathanamthitta,11.764705882352954,6.985294117647078,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.4024_76.7426,Kerala,Pathanamthitta,19.23076923076923,17.788461538461554,14.903846153846157,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.403_76.6685,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.3633_76.8906,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.368_76.6572,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.3923_76.9659,Kerala,Pathanamthitta,19.99999999999997,18.749999999999957,16.249999999999964,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.331_76.9271,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.3532_76.3727,Kerala,Alappuzha,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.3605_76.9876,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.3223_76.736,Kerala,Pathanamthitta,6.666666666666677,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2439_76.7522,Kerala,Pathanamthitta,25.0,23.125000000000018,19.375000000000053,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2699_76.9285,Kerala,Pathanamthitta,12.500000000000021,12.500000000000021,12.500000000000021,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2609_76.878,Kerala,Pathanamthitta,8.333333333333382,2.38095238095245,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2907_76.7222,Kerala,Pathanamthitta,17.391304347826086,9.782608695652184,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2012_76.848,Kerala,Pathanamthitta,28.57142857142859,14.28571428571429,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.1925_76.6707,Kerala,Alappuzha,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2141_76.8075,Kerala,Pathanamthitta,16.666666666666618,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2244_76.7734,Kerala,Pathanamthitta,15.384615384615364,3.296703296703285,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.1708_76.3201,Kerala,Malappuram,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.2294_76.7541,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.1555_76.8544,Kerala,Pathanamthitta,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_9.1635_76.8698,Kerala,Pathanamthitta,3.2258064516128893,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.3047_75.8787,Kerala,Kozhikode,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.3296_75.9415,Kerala,Kozhikode,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.3669_75.7969,Kerala,Kozhikode,30.76923076923078,27.472527472527474,20.879120879120904,STABLE,FUTURE_CRITICAL
Assam_25.8469_92.8978,Assam,West Karbi Anglong,44.70588235294118,35.49019607843138,17.058823529411782,STABLE,FUTURE_CRITICAL
Assam_25.8417_93.45,Assam,Karbi Anglong,10.294117647058808,7.598039215686258,2.2058823529411575,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9772_75.7741,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9593_75.5166,Kerala,Kannur,6.060606060606089,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4195_75.1658,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4997_75.2695,Kerala,Kasaragod,17.02127659574466,18.085106382978722,20.2127659574468,FUTURE_CRITICAL,FUTURE_CRITICAL
West Bengal_26.8646_88.6257,West Bengal,Jalpaiguri,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_26.61_91.58,Assam,Tamulpur,39.99999999999999,29.999999999999982,10.000000000000009,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
West Bengal_26.8813_88.8144,West Bengal,Jalpaiguri,11.594202898550732,11.594202898550732,11.594202898550732,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_27.4833_71.7833,Rajasthan,Jaisalmer,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_27.3753_74.5167,Rajasthan,Didwana-Kuchaman,8.07453416149071,0.3549245785271049,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Rajasthan_27.3667_75.4,Rajasthan,Sikar,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
West Bengal_nan_87.6483,West Bengal,Birbhum,50.0,40.00000000000006,20.00000000000003,STABLE,FUTURE_CRITICAL
Kerala_12.4961_75.1315,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4803_75.0576,Kerala,Kasaragod,0.0,1.1982570806100212,3.5947712418300526,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.4472_82.0167,Uttar Pradesh,Sultanpur,14.28571428571428,8.571428571428562,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.5134_75.1135,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Arunachal Pradesh_28.1514_95.2958,Arunachal Pradesh,East Siang,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Arunachal Pradesh_27.9133_95.3436,Arunachal Pradesh,East Siang,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.46_83.42,Uttar Pradesh,Gorakhpur,23.076923076923062,20.512820512820507,15.384615384615397,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.4508_82.7758,Uttar Pradesh,Ambedkar Nagar,52.941176470588246,43.52941176470589,24.705882352941224,STABLE,FUTURE_CRITICAL
Kerala_12.4211_75.0815,Kerala,Kasaragod,21.126760563380287,14.612676056338024,1.5845070422535357,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4567_75.0353,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4566_75.1397,Kerala,Kasaragod,17.647058823529417,7.598039215686292,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.2361_80.35,Uttar Pradesh,Kanpur Nagar,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4004_75.0311,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.4145_75.0514,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.429_75.0724,Kerala,Kasaragod,7.500000000000018,5.000000000000027,4.440892098500626e-14,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.3552_75.0952,Kerala,Kasaragod,2.083333333333326,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.55_75.2465,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.5619_75.1998,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.2653_75.1889,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.2644_75.1542,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.3133_75.0922,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.3115_75.0762,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.3277_75.0712,Kerala,Kasaragod,9.183673469387754,2.405247813411082,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Arunachal Pradesh_27.8167_94.3167,Arunachal Pradesh,Kamle,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.1764_83.6569,Uttar Pradesh,Mau,9.999999999999998,4.999999999999982,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.2281_75.1563,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.2523_75.2696,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.5833_79.4708,Uttar Pradesh,Auraiya,7.894736842105276,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.2014_83.2297,Uttar Pradesh,Azamgarh,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.1236_75.1821,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.1925_75.1672,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.1609_75.1696,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_24.5625_92.4139,Assam,Karimganj,14.28571428571428,8.03571428571429,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6213_74.9882,Kerala,Kasaragod,37.500000000000014,32.17592592592597,21.527777777777814,STABLE,FUTURE_CRITICAL
Kerala_12.6291_75.0767,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6263_75.0957,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6392_75.014,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.1433_82.0333,Uttar Pradesh,Amethi,39.99999999999998,29.99999999999995,9.999999999999964,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
Kerala_11.9983_75.6855,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.0238_75.2665,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.6667_82.125,Uttar Pradesh,Ayodhya,35.71428571428572,25.00000000000001,3.571428571428592,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
Uttar Pradesh_26.6333_82.6917,Uttar Pradesh,Basti,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.7094_79.2025,Uttar Pradesh,Etawah,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_24.6417_92.3542,Assam,Karimganj,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_24.6292_92.6747,Assam,Hailakandi,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9441_75.3427,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9495_75.6106,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.6847_82.3083,Uttar Pradesh,Ayodhya,13.333333333333341,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.6806_81.1722,Uttar Pradesh,Lucknow,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.1739_81.7622,Uttar Pradesh,Amethi,27.027027027027028,19.819819819819827,5.405405405405384,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6457_75.0793,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6739_75.1194,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.1042_79.2056,Uttar Pradesh,Jalaun,28.000000000000004,15.999999999999993,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6784_75.037,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9272_75.3534,Kerala,Kannur,15.384615384615397,16.826923076923073,19.711538461538503,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9121_75.4549,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6749_74.9625,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.7008_75.0136,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.6863_74.9843,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.8764_75.3725,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
