station_id,mean_wl,min_wl,max_wl,std_wl
Andhra Pradesh_18.5712_83.3487,2.63,1.7,4.1,0.6945022198188666
Andhra Pradesh_18.593_83.5333,2.3899999999999997,1.4,4.7,0.920688148433913
Andhra Pradesh_18.6091_83.4236,4.08,2.4,6.5,1.36853530787075
Andhra Pradesh_18.6113_83.5286,2.87,1.1,5.0,1.3115300648902835
Andhra Pradesh_18.6752_83.9489,2.7399999999999998,1.9,3.4,0.48120219820316246
Andhra Pradesh_18.6937_83.9707,1.7,1.2,2.4,0.36817870057290863
Andhra Pradesh_18.7102_84.0045,6.199999999999999,0.9,9.2,2.8635642126552705
Andhra Pradesh_18.8121_83.4451,2.6,1.7,3.9,0.71956777149743
Andhra Pradesh_18.8578_83.4579,6.4125,4.2,9.4,1.835707337396522
Andhra Pradesh_18.866_83.553,5.91,4.3,7.1,0.8020113604072092
Andhra Pradesh_18.8984_83.4625,6.99,4.2,8.2,1.4309670389868057
Andhra Pradesh_18.9587_83.6439,3.822222222222222,1.8,7.9,1.8959020134079831
Andhra Pradesh_19.1184_84.6865,2.7,1.6,6.1,1.3482498944104455
Andhra Pradesh_nan_77.0639,6.685714285714285,6.2,7.3,0.3532165125838607
Andhra Pradesh_nan_77.1262,2.814285714285714,1.4,3.8,0.8668497975016037
Andhra Pradesh_nan_77.1882,11.542857142857143,5.8,17.0,3.878082491325295
Andhra Pradesh_nan_77.2221,4.2,2.6,6.7,1.2660399452059732
Andhra Pradesh_nan_77.2849,5.328571428571428,4.6,6.7,0.8635475005547094
Andhra Pradesh_nan_77.2875,5.63,2.0,8.0,1.8589423516254255
Andhra Pradesh_nan_77.5963,1.8625,1.1,2.9,0.7482121547872825
Andhra Pradesh_nan_77.5967,1.725,0.2,4.3,1.5294723646688468
Andhra Pradesh_nan_77.6142,2.6,1.6,4.1,0.8976158898517146
Andhra Pradesh_nan_77.8074,7.9125,5.8,11.4,1.986696827831133
Andhra Pradesh_nan_80.7916,2.542857142857143,0.6,12.7,4.484364370735701
Andhra Pradesh_nan_81.0343,2.2,1.5,3.5,0.6546536707079772
Andhra Pradesh_nan_81.0778,1.775,0.8,2.5,0.6519202405202649
Arunachal Pradesh_27.0083_95.4667,7.840000000000001,5.8,10.9,1.6814015317915918
Arunachal Pradesh_27.0167_95.4667,5.220000000000001,4.0,6.3,0.6196773353931869
Arunachal Pradesh_27.0281_93.7413,2.66,2.4,3.1,0.24585451886114373
Arunachal Pradesh_27.07_93.6,3.16,1.2,3.7,0.7136759301905404
Arunachal Pradesh_27.1031_93.6947,6.328571428571428,5.8,6.7,0.3860668582611297
Arunachal Pradesh_27.1039_93.6417,3.1,2.6,4.0,0.4566962103755937
Arunachal Pradesh_27.1053_93.8258,11.879999999999999,11.2,13.5,0.7315128919650781
Arunachal Pradesh_27.1311_93.7331,0.5,0.0,1.0,0.4690415759823429
Arunachal Pradesh_27.13_93.7336,0.3,0.0,0.9,0.3299831645537222
Arunachal Pradesh_27.15_93.75,0.8625,0.4,1.1,0.1995530720671285
Arunachal Pradesh_27.2083_96.0417,4.54,3.4,5.3,0.6636598861197237
Arunachal Pradesh_27.2_95.525,4.220000000000001,3.3,5.3,0.5940445175985456
Arunachal Pradesh_27.3083_93.9694,1.3333333333333333,0.9,1.8,0.307679486912382
Arunachal Pradesh_27.4047_94.1522,4.922222222222222,4.1,5.6,0.4737556801183966
Arunachal Pradesh_27.4167_96.0458,4.18,3.4,4.7,0.4589843860815601
Arunachal Pradesh_27.4583_96.1083,2.98,2.3,4.3,0.7583608053631932
Arunachal Pradesh_27.5_96.1333,5.3,3.8,6.0,0.6342099196813483
Arunachal Pradesh_27.6667_95.875,3.9799999999999995,2.6,5.8,1.15354525991253
Arunachal Pradesh_27.8167_94.3167,1.8888888888888888,1.4,3.2,0.5754225500544023
Arunachal Pradesh_27.8378_95.2182,2.13,1.7,2.4,0.24060109910158106
Arunachal Pradesh_27.9133_95.3436,3.08,2.0,5.9,1.4581571322125138
Arunachal Pradesh_28.1514_95.2958,10.209999999999999,9.1,12.1,0.744535649471087
Assam_24.4333_92.2917,1.4700000000000002,1.1,1.7,0.21628170930011115
Assam_24.4514_92.6194,1.16,0.5,2.9,0.6785605679999719
Assam_24.5389_92.4833,1.89,0.8,3.5,1.0104454463255301
Assam_24.5583_92.8,0.55,0.1,2.1,0.5816642788871715
Assam_24.5625_92.4139,1.06,0.1,2.5,0.6653319973266479
Assam_24.5842_92.4836,1.1833333333333333,0.7,1.5,0.28577380332470415
Assam_24.5969_92.3206,1.2,0.6,1.6,0.3126943839882287
Assam_24.6031_92.5311,2.3666666666666667,1.6,2.8,0.40824829046386296
Assam_24.6292_92.6747,0.24,0.0,0.4,0.11737877907772673
Assam_24.6417_92.3542,0.12000000000000002,0.0,0.3,0.10327955589886444
Assam_24.6964_92.7578,0.9,0.4,1.4,0.3559026084010437
Assam_24.7183_92.7769,1.5833333333333333,0.6,3.8,1.3702797767852617
Assam_24.7275_92.5833,0.9,0.3,1.7,0.6033241251599343
Assam_24.8097_92.8917,2.8,1.9,5.0,0.941629792788369
Assam_24.8667_92.5667,2.29,1.0,3.3,0.8102811583367563
Assam_24.8714_92.5964,6.44,1.5,9.2,2.214698374246229
Assam_24.8869_92.5889,2.011111111111111,1.4,3.2,0.5278362540704372
Assam_24.9389_92.7417,1.1333333333333333,0.8,1.7,0.29154759474226505
Assam_24.9403_92.7269,1.2,0.0,3.0,1.0862780491200215
Assam_24.9681_92.5753,4.9125,2.6,5.9,1.068293030961075
Assam_24.9722_92.5833,2.55,0.6,5.5,1.4238055422782363
Assam_24.9889_92.5,5.09,3.7,7.7,1.4090579989640044
Assam_25.7667_93.175,6.51,2.6,11.6,3.0230411472187706
Assam_25.8344_93.4067,19.8,16.1,20.9,1.8373894524569363
Assam_25.8417_93.45,19.6375,14.2,24.0,2.7065726877890635
Assam_25.8461_93.4447,3.4499999999999997,2.0,4.1,0.8068457101577723
Assam_25.8469_92.8978,8.0625,4.4,12.9,2.911522674772478
Assam_25.8619_92.7683,4.433333333333334,3.5,5.4,0.5700877125495695
Assam_25.9069_93.6611,5.957142857142857,3.5,7.9,1.7980147782643898
Assam_25.9131_92.9617,5.9799999999999995,4.7,7.8,0.8866917289691059
Assam_25.9306_90.7769,5.2299999999999995,4.3,6.9,0.9416887903005846
Assam_25.9328_92.71,1.7999999999999998,0.6,4.0,1.3601470508735443
Assam_25.9442_91.1181,2.54,1.6,3.2,0.5501514942874068
Assam_25.9519_90.7731,4.67,3.9,5.5,0.5313504806936129
Assam_25.9611_93.4886,1.4,0.7,2.3,0.5928141120356122
Assam_25.9625_93.585,3.9899999999999998,1.7,6.8,1.6030872992101488
Assam_25.9678_90.9064,2.5,2.0,3.0,0.4163331998932265
Assam_25.9722_92.5858,3.5666666666666664,3.0,4.1,0.38297084310253515
Assam_25.975_91.2417,4.35,3.2,6.0,0.8644201653259962
Assam_25.9772_93.7625,3.2,2.1,5.5,1.118033988749895
Assam_25.97_93.4372,3.9555555555555557,2.7,7.1,1.638681719486056
Assam_25.9808_90.8042,2.6,1.8,3.1,0.4944132324730441
Assam_25.9833_92.9289,5.866666666666666,4.5,6.9,0.7466592261534039
Assam_25.9914_93.7642,4.1571428571428575,2.6,5.8,1.2245504520124149
Assam_25.9944_93.4108,8.26,4.2,13.4,3.6136162250884114
Assam_26.0052_93.7684,3.475,2.6,4.2,0.5548487567410986
Assam_26.0094_93.2622,5.2,1.6,8.2,1.9321835661585915
Assam_26.0128_90.7008,3.3200000000000003,2.5,5.0,0.7083627444874397
Assam_26.0167_89.9833,4.24,2.4,7.9,1.5572054742033528
Assam_26.0172_93.3817,2.525,2.0,3.0,0.3654742515847437
